disease,symptom
C0020433, C0010520 C0231835 C0233070 C0428977 C0006157 C0332601 C0010200 C0231528
C0021400, C0242143 C0015967 C0008033 C1260880 C0242429 C0231218 C0742985 C0436331 C0085593 C0240962 C0277873 C0013428 C0542073 C0018681 C0037383 C0037384 C0457097 C0392680 C0476273 C0312422 C0277794
C0439857, C0728899 C0040822 C0085631 C0438696 C0237154 C0242453 C0023380 C0036572 C0231530 C0848340 C0150041 C0581911 C0034642
C0087086, C0086439 C0003123 C0235396 C0392680 C0239981 C0033774 C0234233 C0578150 C0427055 C0042963 C0241252
C0008325, C0859032 C0027497 C0000737 C0277977 C0016204 C0232488 C0030193 C0003962 C0011991 C0151878 C0425560 C0541992 C0232201 C0425449 C0009806 C0474505 C0702118
C0019291, C0000737 C0231230 C0240805 C0042963 C0027497 C0231528 C0020625 C0234233 C0858924 C0231807 C0232766 C0744492 C0239832 C0018681 C0085636
C0149931, C0002416 C0042963 C0012833 C0028643 C0027497 C0015967 C0038002
C0030312, C0020639 C0015672 C0019080 C0231230 C0332601 C0241252 C0232488
C0008350, C0042963 C0027497 C0000737 C0030193 C0332601 C0003962 C0205400 C0234233 C0011991 C0277797 C0030252
C0039239, C0238705 C0038990 C0556346 C0438716 C0241158 C0425560 C0149746 C0392680 C0520888 C0042963 C0000737
C1258215, C0549483 C0000727 C0740844 C0425491 C0232498 C0027497 C0234233 C0016204 C0011991 C0577559 C0277797 C0009806 C0205400 C0232995 C0000737
C0001511, C0016204 C0030193 C0456091 C0233070 C0042963 C0034079 C0006157 C0392680 C0043096 C0231441 C1273573 C0233763 C0424000
C0011253, C0240233 C0392701 C0150041 C0085631 C0233762 C0022107 C0917801 C0233647 C0455204 C0578859 C0233481 C0231187 C0558089 C0007398 C0438696 C0558261 C0312422 C0424109 C0338656 C0022107 C0085631
C0233472, C0277794 C0917801 C0014394 C0376405 C0150041 C0233763 C0425251 C0242453
